geneIDs	a_cell	a_donor	geneIDs	b_cell	b_donor	geneIDs	g_cell	g_donor	geneIDs	d_cell	d_donor	geneIDs	acinar_cell	acinar_donor	geneIDs	ductal_cell	ductal_donor	geneIDs	correlation	sequenced	RefSeq	RPKM
															'RPL23'	0.671	0.517	'WBP2'	0.55	2137397	1050379	6095
															'NME2.uid_22041'	0.671	0.555	'PICK1'	0.55	427750	270036	6341
															'GPR137'	0.67	0.539	'B3GAT3'	0.55	2693100	1210489	5528
															'TAX1BP3'	0.67	0.347	'FASN'	0.55	1797964	941845	5485
															'BAZ2A'	0.67	0.49	'C1QL1'	0.55	1809700	920440	4437
															'DAPK3'	0.669	0.516	'RAVER1'	0.55	1530197	948023	4546
															'DAP'	0.669	0.474	'PABPN1'	0.55	1373341	757686	4574
															'PSKH1'	0.669	0.494	'ZNF358'	0.55	1490290	768131	5747
															'MESP1'	0.669	0.394	'SLC38A10'	0.55	1049911	421122	2520
															'FBXL6'	0.669	0.341	'NAT14'	0.55	1558316	813311	2314
															'ADAM15'	0.669	0.404	'CORO1B'	0.54	1752080	791087	2883
															'PPP4C'	0.669	0.483	'ARVCF'	0.54	1063801	436018	5403
															'GPR56'	0.668	0.519	'TP53I13'	0.54	1428278	672835	5154
															'C17orf62'	0.668	0.406	'LAMTOR1'	0.54	2418543	1234687	4728
															'RRBP1'	0.668	0.373	'GUK1'	0.54	1443547	743979	4980
															'SELO'	0.667	0.455	'MAPK8IP1'	0.54	83975	37231	5330
															'EMC10'	0.667	0.461	'RAC3'	0.54	1677806	864498	6285
